year,months,state,colony_max,colony_lost,colony_lost_pct,colony_added,colony_reno,colony_reno_pct
2015,January-March,Alabama,7000,1800,26,2800,250,4
2015,January-March,Arizona,35000,4600,13,3400,2100,6
2015,January-March,Arkansas,14000,1500,11,1200,90,1
2015,January-March,California,1690000,255000,15,250000,124000,7
2015,January-March,Colorado,12500,1500,12,200,140,1
2015,January-March,Florida,315000,42000,13,54000,25000,8
2015,January-March,Georgia,105000,14500,14,47000,9500,9
2015,January-March,Hawaii,10500,380,4,3400,760,7
2015,January-March,Idaho,88000,3700,4,2600,8000,9
2015,January-March,Illinois,10500,4200,40,2300,390,4
2015,January-March,Indiana,9500,2100,22,490,120,1
2015,January-March,Iowa,17500,3100,18,1700,270,2
2015,January-March,Kansas,7000,1600,23,450,70,1
2015,January-March,Louisiana,51000,8000,16,3100,6500,13
2015,January-March,Maryland,10000,4100,41,1600,870,9
2015,January-March,Massachusetts,4600,1000,22,260,120,3
2015,January-March,Michigan,60000,11500,19,7500,2400,4
2015,January-March,Minnesota,74000,3700,5,690,530,1
2015,January-March,Mississippi,76000,8500,11,22000,7500,10
2015,January-March,Missouri,13000,2000,15,220,910,7
2015,January-March,Montana,36000,2200,6,1400,1100,3
2015,January-March,Nebraska,31000,2600,8,120,310,1
2015,January-March,New Jersey,9000,1100,12,570,1600,18
2015,January-March,New Mexico,7000,690,10,190,600,9
2015,January-March,New York,30000,6500,22,430,950,3
2015,January-March,North Carolina,26000,7000,27,6000,690,3
2015,January-March,Ohio,22000,10500,48,5000,3300,15
2015,January-March,Oklahoma,26000,6000,23,2600,260,1
2015,January-March,Oregon,87000,6500,8,4300,2400,3
2015,January-March,South Carolina,17500,2700,15,2700,1400,8
2015,January-March,South Dakota,97000,4600,5,8500,2800,3
2015,January-March,Tennessee,9500,2000,21,1000,190,2
2015,January-March,Texas,250000,26000,10,82000,51000,20
2015,January-March,Utah,24000,3300,14,2500,290,1
2015,January-March,Virginia,9000,2500,28,800,460,5
2015,January-March,Washington,105000,14000,13,13500,9000,9
2015,January-March,West Virginia,6000,1800,30,570,60,1
2015,January-March,Wisconsin,29000,8000,28,3100,2500,9
2015,January-March,Wyoming,12000,2000,17,2000,1400,12
2015,January-March,Other States,8990,2080,23,870,150,2
2015,April-June,Alabama,7500,860,12,1900,680,9
2015,April-June,Arizona,33000,5500,17,19500,7000,21
2015,April-June,Arkansas,13500,1900,14,11500,5500,41
2015,April-June,California,1050000,104000,10,170000,285000,27
2015,April-June,Colorado,25000,1900,8,6000,3500,14
2015,April-June,Connecticut,3000,80,3,1100,150,5
2015,April-June,Florida,215000,35000,16,44000,24000,11
2015,April-June,Georgia,124000,23000,19,25000,19000,15
2015,April-June,Hawaii,13500,120,1,1100,1200,9
2015,April-June,Idaho,72000,6500,9,16500,10500,15
2015,April-June,Illinois,9500,1300,14,6000,1500,16
2015,April-June,Indiana,12500,1300,10,4900,4300,34
2015,April-June,Iowa,24000,1400,6,6500,3100,13
2015,April-June,Kansas,7000,670,10,2800,420,6
2015,April-June,Kentucky,8500,980,12,3600,1500,18
2015,April-June,Louisiana,45000,1800,4,6500,8000,18
2015,April-June,Maine,30000,3200,11,3500,700,2
2015,April-June,Maryland,11000,370,3,2600,710,7
2015,April-June,Massachusetts,14000,320,2,940,510,4
2015,April-June,Michigan,88000,9500,11,13500,5500,6
2015,April-June,Minnesota,125000,12500,10,20000,21000,17
2015,April-June,Mississippi,89000,11000,12,5500,10000,11
2015,April-June,Missouri,12500,500,4,1900,1800,14
2015,April-June,Montana,210000,4200,2,14000,33000,16
2015,April-June,Nebraska,68000,4100,6,15500,4600,7
2015,April-June,New Jersey,19000,1800,10,2100,2900,15
2015,April-June,New Mexico,8500,1000,12,1500,330,4
2015,April-June,New York,34000,1100,3,11000,1500,4
2015,April-June,North Carolina,23000,1800,8,5500,3300,14
2015,April-June,North Dakota,450000,29000,6,39000,61000,14
2015,April-June,Ohio,19000,2100,11,10000,6000,32
2015,April-June,Oklahoma,27000,2200,8,5500,2200,8
2015,April-June,Oregon,95000,5500,6,14500,9500,10
2015,April-June,Pennsylvania,19000,1600,8,8500,2600,14
2015,April-June,South Carolina,18500,950,5,1100,2000,11
2015,April-June,South Dakota,290000,21000,7,27000,23000,8
2015,April-June,Tennessee,7500,730,10,3600,920,12
2015,April-June,Texas,315000,33000,11,76000,94000,30
2015,April-June,Utah,27000,3400,13,10000,3900,14
2015,April-June,Vermont,6000,100,2,580,50,1
2015,April-June,Virginia,7500,270,4,2100,430,6
2015,April-June,Washington,127000,5000,4,15000,13000,10
2015,April-June,West Virginia,4700,570,12,2900,590,13
2015,April-June,Wisconsin,65000,4600,7,10000,5500,9
2015,April-June,Wyoming,25000,3200,13,7500,5000,20
2015,April-June,Other States,11200,1940,17,4140,1960,18
2015,July-September,Alabama,9000,1400,16,160,260,3
2015,July-September,Arizona,40000,6000,15,4300,15500,39
2015,July-September,Arkansas,30000,9000,30,500,210,1
2015,July-September,California,800000,76000,10,40000,93000,12
2015,July-September,Colorado,30000,4500,15,1400,1400,5
2015,July-September,Connecticut,3700,50,1,190,440,12
2015,July-September,Florida,220000,36000,16,37000,29000,13
2015,July-September,Georgia,110000,13000,12,19500,15500,14
2015,July-September,Hawaii,14500,2700,19,1200,5500,38
2015,July-September,Idaho,128000,14000,11,5500,11500,9
2015,July-September,Illinois,14000,1400,10,1300,1100,8
2015,July-September,Indiana,15000,1600,11,1400,420,3
2015,July-September,Iowa,37000,3000,8,640,680,2
2015,July-September,Kansas,9500,1000,11,100,160,2
2015,July-September,Kentucky,10000,1300,13,170,550,6
2015,July-September,Louisiana,55000,2000,4,2300,1800,3
2015,July-September,Maine,6000,450,8,410,140,2
2015,July-September,Maryland,7500,680,9,730,70,1
