id,Type,Title,Country,Data Added,Release Year,Rating,Genre
45,TV Show,Maradona in Mexico,"Argentina, United States, Mexico",11/13/2019,2020,TV-MA,"Docuseries, Spanish-Language TV Shows"
398,TV Show,Handsome Siblings,China,1/16/2020,2020,TV-14,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
595,TV Show,Until Dawn,France,1/10/2020,2020,TV-MA,"International TV Shows, Reality TV, TV Comedies"
842,Movie,Ghost Stories,India,1/1/2020,2020,TV-MA,"Horror Movies, International Movies, Thrillers"
1299,TV Show,Jamtara - Sabka Number Ayega,India,1/10/2020,2020,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas"
1785,Movie,All the Freckles in the World,Mexico,1/3/2020,2020,TV-14,"Comedies, International Movies, Romantic Movies"
2183,Movie,"Live Twice, Love Once",Spain,1/7/2020,2020,TV-MA,"Comedies, Dramas, International Movies"
2661,TV Show,Dracula,United Kingdom,1/4/2020,2020,TV-14,"British TV Shows, International TV Shows, TV Dramas"
3011,Movie,Leslie Jones: Time Machine,United States,1/14/2020,2020,TV-MA,Stand-Up Comedy
3061,Movie,Bulletproof 2,United States,1/9/2020,2020,TV-MA,"Action & Adventure, Comedies"
4353,TV Show,Messiah,United States,1/1/2020,2020,TV-MA,"TV Dramas, TV Thrillers"
4354,TV Show,"Sex, Explained",United States,1/2/2020,2020,TV-MA,"Docuseries, Science & Nature TV"
4355,TV Show,Go! Go! Cory Carson,United States,1/4/2020,2020,TV-Y,Kids' TV
4356,TV Show,Cheer,United States,1/8/2020,2020,TV-MA,"Docuseries, Reality TV, Teen TV Shows"
4357,TV Show,AJ and the Queen,United States,1/10/2020,2020,TV-14,"TV Comedies, TV Dramas"
4358,TV Show,Medical Police,United States,1/10/2020,2020,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Comedies"
4360,TV Show,Kipo and the Age of Wonderbeasts,United States,1/14/2020,2020,TV-Y7-FV,"Kids' TV, TV Comedies"
4361,TV Show,Killer Inside: The Mind of Aaron Hernandez,United States,1/15/2020,2020,TV-MA,"Crime TV Shows, Docuseries"
8,Movie,Grego Rossello: Disculpe las molestias,Argentina,10/31/2019,2019,TV-MA,Stand-Up Comedy
9,Movie,"River, el más grande siempre",Argentina,7/5/2019,2019,TV-G,"Documentaries, International Movies, Sports Movies"
12,Movie,GO! The Unforgettable Party,Argentina,11/15/2019,2019,TV-PG,"Children & Family Movies, Music & Musicals"
20,Movie,The Son,Argentina,7/26/2019,2019,TV-MA,"Dramas, Independent Movies, International Movies"
26,TV Show,Go! Live Your Way,Argentina,6/21/2019,2019,TV-G,"Kids' TV, Spanish-Language TV Shows, Teen TV Shows"
27,TV Show,Apache: The Life of Carlos Tevez,Argentina,8/16/2019,2019,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
28,TV Show,El Marginal,Argentina,9/27/2019,2019,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
30,TV Show,Millennials,Argentina,11/5/2019,2019,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
31,TV Show,No Time for Shame,Argentina,11/19/2019,2019,TV-MA,"International TV Shows, Reality TV, Spanish-Language TV Shows"
44,Movie,Blood Will Tell,"Argentina, United States",6/21/2019,2019,TV-MA,"Dramas, Independent Movies, International Movies"
57,Movie,I Am Mother,Australia,6/7/2019,2019,TV-14,"International Movies, Sci-Fi & Fantasy, Thrillers"
61,Movie,Back of the Net,Australia,12/21/2019,2019,TV-G,"Children & Family Movies, Sports Movies"
68,Movie,Iron Fists and Kung-Fu Kicks,Australia,12/1/2019,2019,TV-MA,"Documentaries, International Movies"
90,TV Show,Lunatics,Australia,4/19/2019,2019,TV-MA,"International TV Shows, TV Comedies"
91,TV Show,Instant Hotel,Australia,6/28/2019,2019,TV-MA,"International TV Shows, Reality TV"
92,TV Show,Yummy Mummies,Australia,7/3/2019,2019,TV-14,"International TV Shows, Reality TV"
95,TV Show,The Letdown,Australia,7/31/2019,2019,TV-MA,"International TV Shows, TV Comedies, TV Dramas"
97,TV Show,Wentworth,Australia,8/1/2019,2019,NR,"Crime TV Shows, TV Dramas"
98,TV Show,The InBESTigators,Australia,8/9/2019,2019,TV-G,"Kids' TV, TV Comedies"
99,TV Show,Glitch,Australia,9/25/2019,2019,TV-MA,"International TV Shows, TV Dramas, TV Horror"
101,TV Show,THE UNLISTED,Australia,10/17/2019,2019,TV-PG,"Kids' TV, TV Thrillers"
122,TV Show,Motown Magic,"Australia, United States",6/28/2019,2019,TV-Y,Kids' TV
