id,Rank,Mountain name,Height in m,Height in ft,Prominence in m,Range,Parent mountain,First ascent,Ascents (& failed attempts) as of 2004,Country
57,57,Jongsong Peak,7462,24482,1298,Kangchenjunga Himalaya,Kangchenjunga,1930,2,"India, China, Nepal"
29,29,Kamet,7756,25446,2825,Garhwal Himalaya,Nanda Devi,1931,23,India
41,41,Gongga Shan / Minya Konka,7556,24790,3642,Daxue Mountains (Hengduan Shan),Mount Everest,1932,6,China
50,50,Ismoil Somoni Peak,7495,24590,3402,Pamir (Academy of Sciences Range),Muztagh Ata,1933,0,Tajikistan
63,63,Sia Kangri,7422,24350,642,Siachen Karakoram,Gasherbrum I,1934,6,"Pakistan, China, India"
101,101,Khartaphu,7213,23665,712,Mahalangur Himalaya,Mount Everest,1935,1,China
23,23,Nanda Devi,7816,25643,3139,Garhwal Himalaya,Dhaulagiri,1936,14,India
91,91,Mana Peak,7272,23858,732,Garhwal Himalaya,Kamet,1937,7,India
78,78,Jomolhari / Chomo Lhari,7326,24035,2341,Jomolhari Himalaya,Gangkhar Puensum,1937,4,"Bhutan, China"
76,76,Kirat Chuli,7362,24153,1168,Kangchenjunga Himalaya,Kangchenjunga,1939,1,"India, Nepal"
33,33,Tirich Mir,7708,25289,3910,Hindu Kush,Batura Sar,1950,20,Pakistan
10,10,Annapurna I,8091,26545,2984,Annapurna Himalaya,Cho Oyu,1950,36,Nepal
96,96,Mukut Parbat,7242,23760,683,Garhwal Himalaya,Kamet,1951,2,"India, China"
9,9,Nanga Parbat,8126,26660,4608,Nanga Parbat Himalaya,Dhaulagiri,1953,52,Pakistan
1,1,Mount Everest,8848,29029,8848,Mahalangur Himalaya,none,1953,145,"Nepal, China"
94,94,Putha Hiunchuli,7246,23773,1151,Dhaulagiri Himalaya,Churen Himal,1954,11,Nepal
24,24,Chomo Lonzo,7804,25604,590,Mahalangur Himalaya,Makalu,1954,3,China
6,6,Cho Oyu,8188,26864,2340,Mahalangur Himalaya,Mount Everest,1954,79,"Nepal, China"
2,2,K2,8611,28251,4020,Baltoro Karakoram,Mount Everest,1954,45,"Pakistan, China"
62,62,Yangra / Ganesh I,7422,24350,2352,Ganesh Himalaya,Shishapangma,1955,1,"Nepal, China"
5,5,Makalu,8485,27838,2378,Mahalangur Himalaya,Mount Everest,1955,45,"Nepal, China"
3,3,Kangchenjunga,8586,28169,3922,Kangchenjunga Himalaya,Mount Everest,1955,38,NepalIndia
90,90,Muztagh Tower,7276,23871,1710,Baltoro Karakoram,Skil Brum,1956,4,"Pakistan, China"
60,60,Jengish Chokusu / Tömür / Pk Pobeda,7439,24406,4148,Tian Shan,Ismail Samani Peak,1956,0,"Kyrgyzstan, China"
49,49,Muztagh Ata,7509,24636,2698,Muztagata (Eastern Pamirs),Kongur Tagh,1956,0,China
46,46,Kongur Tiube,7530,24705,840,Kongur Shan (Eastern Pamirs),Kongur Tagh,1956,2,China
