id,Position,Track Name,Artist,Popularity
1,1,greedy,Tate McRae,100
2,2,Standing Next to You,Jung Kook,95
3,3,Cruel Summer,Taylor Swift,99
4,4,Si No Estás,iñigo quintero,99
5,5,Seven (feat. Latto) (Explicit Ver.),Jung Kook,86
6,6,My Love Mine All Mine,Mitski,97
7,7,PERRO NEGRO,Bad Bunny,97
8,8,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,94
9,9,Paint The Town Red,Doja Cat,89
10,10,Houdini,Dua Lipa,83
11,11,MONACO,Bad Bunny,98
12,12,HARLEY QUINN,Fuerza Regida,92
13,13,Strangers,Kenya Grace,98
14,14,Water,Tyla,96
15,15,Que Onda,Calle 24,94
16,16,QLONA,KAROL G,94
17,17,Agora Hills,Doja Cat,82
18,18,3D (feat. Jack Harlow),Jung Kook,88
19,19,I Wanna Be Yours,Arctic Monkeys,95
20,20,Lovin On Me,Jack Harlow,79
21,21,LALA,Myke Towers,96
22,22,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,92
23,23,All I Want for Christmas Is You,Mariah Carey,88
24,24,Según Quién,Maluma,89
25,25,LADY GAGA,Peso Pluma,94
26,26,Daylight,David Kushner,95
27,27,vampire,Olivia Rodrigo,95
28,28,As It Was,Harry Styles,95
29,29,Dance The Night - From Barbie The Album,Dua Lipa,94
30,30,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,90
31,31,Starboy,The Weeknd,94
32,32,Kill Bill,SZA,91
33,33,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,95
34,34,Last Christmas - Single Version,Wham!,73
35,35,Lollipop,Darell,94
36,36,Stick Season,Noah Kahan,90
37,37,Prada,cassö,94
38,38,The Night We Met,Lord Huron,82
39,39,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,93
40,40,Another Love,Tom Odell,92
41,41,fukumean,Gunna,94
42,42,Sweater Weather,The Neighbourhood,92
43,43,Columbia,Quevedo,94
44,44,IDGAF (feat. Yeat),Drake,94
45,45,Anti-Hero,Taylor Swift,93
46,46,Die For You,The Weeknd,90
47,47,LALALALA,Stray Kids,79
48,48,LOU LOU,Gabito Ballesteros,90
49,49,Lover,Taylor Swift,92
